method	path	operation_id	tags	openapi_line
GET	/button.svg	getDeployButton	[System]	61
GET	/healthz	healthz	[System]	76
GET	/readyz	readyz	[System]	91
GET	/v1/metadata/geoip	getGeoIPMetadata	[System]	106
GET	/v1/auth/context	getAuthContext	[System]	128
GET	/v1/search	searchResources	[Discovery]	145
GET	/v1/edge/tls/ask	edgeTLSAsk	[Edge]	180
GET	/v1/edge/domains	edgeDomains	[Edge]	234
GET	/v1/edge/routes	edgeRoutes	[Edge]	252
GET	/v1/edge/ssh/routes	edgeSSHRoutes	[Edge]	287
GET	/v1/edge/nodes	listEdgeNodes	[Edge]	322
GET	/v1/edge/nodes/{edge_id}	getEdgeNode	[Edge]	345
GET	/v1/edge/nodes/{edge_id}/quality	getEdgeNodeQuality	[Edge]	368
GET	/v1/edge/quality-rank/{hostname}	getEdgeQualityRank	[Edge]	397
GET	/v1/edge/nodes/{edge_id}/desired-state	getEdgeNodeDesiredState	[Edge]	459
GET	/v1/admin/edge/nodes/{edge_id}/desired-state	adminGetEdgeNodeDesiredState	[Admin, Edge]	482
POST	/v1/admin/edge/nodes/{edge_id}/probe	adminProbeEdgeNode	[Admin, Edge]	505
POST	/v1/admin/edge/nodes/{edge_id}/canary	adminSetEdgeNodeCanary	[Admin, Edge]	528
POST	/v1/admin/edge/nodes/{edge_id}/drain	adminDrainEdgeNode	[Admin, Edge]	557
POST	/v1/admin/edge/nodes/{edge_id}/undrain	adminUndrainEdgeNode	[Admin, Edge]	580
POST	/v1/edge/nodes/{edge_id}/token	createEdgeNodeToken	[Edge]	603
POST	/v1/edge/heartbeat	edgeHeartbeat	[Edge]	632
GET	/v1/edge/route-policies	listEdgeRoutePolicies	[Edge]	655
GET	/v1/edge/route-policies/{hostname}	getEdgeRoutePolicy	[Edge]	672
PUT	/v1/edge/route-policies/{hostname}	putEdgeRoutePolicy	[Edge]	694
DELETE	/v1/edge/route-policies/{hostname}	deleteEdgeRoutePolicy	[Edge]	722
GET	/v1/admin/domains	listPlatformDomainBindings	[Admin]	745
GET	/v1/admin/image-cache/inventory	adminListImageCacheInventory	[Admin]	767
GET	/v1/admin/image-cache/prune-plan	adminGetImageCachePrunePlan	[Admin]	797
POST	/v1/admin/image-cache/prune-plan	adminCreateImageCachePrunePlanTask	[Admin]	835
GET	/v1/admin/image-retention/plan	adminGetImageRetentionPlan	[Admin]	858
GET	/v1/admin/localpv/inventory	adminListLocalPVInventory	[Admin]	884
GET	/v1/admin/control-plane/store/status	getControlPlaneStoreStatus	[Admin]	914
POST	/v1/admin/control-plane/store/promote	promoteControlPlaneStore	[Admin]	931
GET	/v1/admin/routes	listRouteServingModes	[Admin]	954
GET	/v1/admin/routes/explain/{hostname}	explainRoute	[Admin]	971
GET	/v1/admin/platform/autonomy/status	getPlatformAutonomyStatus	[Admin]	994
POST	/v1/admin/platform/failure-drills	runPlatformFailureDrill	[Admin]	1011
GET	/v1/admin/invariants	listInvariantDefinitions	[Admin]	1034
GET	/v1/admin/invariants/inventory	getPlatformControlInventory	[Admin]	1051
GET	/v1/admin/invariants/{invariant_id}	getInvariantDefinition	[Admin]	1068
GET	/v1/admin/action-contracts	listAutomaticActionContracts	[Admin]	1091
GET	/v1/admin/action-contracts/{contract_id}	getAutomaticActionContract	[Admin]	1108
POST	/v1/admin/action-safety/evaluate	evaluateActionSafety	[Admin]	1131
GET	/v1/admin/release-guard/status	getReleaseGuardStatus	[Admin]	1154
GET	/v1/admin/gates	listGatePolicies	[Admin]	1177
GET	/v1/admin/gates/{gate_id}	getGatePolicy	[Admin]	1194
POST	/v1/admin/gates/{gate_id}/promote	promoteGatePolicy	[Admin]	1217
GET	/v1/admin/traffic-safety/explain/{hostname}	explainTrafficSafety	[Admin]	1246
GET	/v1/admin/requests/{request_id}/explain	explainRequest	[Admin]	1277
GET	/v1/admin/robustness/status	getRobustnessStatus	[Admin]	1306
GET	/v1/admin/robustness/check/{subject}	checkRobustnessSubject	[Admin]	1341
GET	/v1/admin/robustness/incidents	listRobustnessIncidents	[Admin]	1369
GET	/v1/admin/robustness/incidents/{id}	getRobustnessIncident	[Admin]	1392
POST	/v1/admin/robustness/incidents/{id}/repair-plan	planRobustnessRepair	[Admin]	1420
POST	/v1/admin/robustness/incidents/{id}/repair	runRobustnessRepair	[Admin]	1448
GET	/v1/admin/artifacts	listPlatformArtifacts	[Admin]	1482
POST	/v1/admin/artifacts	createPlatformArtifact	[Admin]	1521
GET	/v1/admin/artifacts/{artifact_id}	getPlatformArtifact	[Admin]	1544
POST	/v1/admin/artifacts/{artifact_id}/validate	validatePlatformArtifact	[Admin]	1567
POST	/v1/admin/artifacts/{artifact_id}/release	releasePlatformArtifact	[Admin]	1597
POST	/v1/admin/artifacts/{artifact_id}/rollback	rollbackPlatformArtifact	[Admin]	1626
POST	/v1/admin/artifact-releases/{release_id}/verify-lkg	verifyPlatformArtifactReleaseLKG	[Admin]	1655
GET	/v1/admin/artifacts/{artifact_id}/consumers	listPlatformArtifactConsumers	[Admin]	1684
GET	/v1/admin/expected-consumer-sets	listPlatformExpectedConsumerSets	[Admin]	1707
GET	/v1/admin/artifacts/{artifact_id}/lkg	getPlatformArtifactLKG	[Admin]	1754
GET	/v1/platform-state/artifacts/{artifact_kind}	getPlatformStateArtifact	[Admin]	1777
POST	/v1/platform-state/consumers/heartbeat	platformConsumerHeartbeat	[Admin]	1825
POST	/v1/platform-state/consumers/trusted-heartbeat	trustedPlatformConsumerHeartbeat	[Admin]	1848
GET	/v1/admin/failure-contracts	listSubsystemFailureContracts	[Admin]	1883
GET	/v1/admin/failure-contracts/{subsystem}	getSubsystemFailureContract	[Admin]	1900
POST	/v1/admin/security/key-rotation	preflightKeyRotation	[Admin]	1923
GET	/v1/admin/dns/full-zone/preflight	dnsFullZonePreflight	[DNS]	1946
GET	/v1/admin/domains/{hostname}	getPlatformDomainBinding	[Admin]	1982
PUT	/v1/admin/domains/{hostname}	putPlatformDomainBinding	[Admin]	2004
DELETE	/v1/admin/domains/{hostname}	deletePlatformDomainBinding	[Admin]	2032
GET	/v1/edge/dns	edgeDNSBundle	[Edge]	2055
GET	/v1/dns/nodes	listDNSNodes	[DNS]	2122
GET	/v1/dns/acme-challenges	listDNSACMEChallenges	[DNS]	2145
POST	/v1/dns/acme-challenges	upsertDNSACMEChallenge	[DNS]	2172
DELETE	/v1/dns/acme-challenges/{challenge_id}	deleteDNSACMEChallenge	[DNS]	2195
GET	/v1/dns/zones	listHostedDNSZones	[DNS]	2218
POST	/v1/dns/zones	createHostedDNSZone	[DNS]	2234
GET	/v1/dns/zones/{zone}	getHostedDNSZone	[DNS]	2257
DELETE	/v1/dns/zones/{zone}	deleteHostedDNSZone	[DNS]	2279
GET	/v1/dns/zones/{zone}/preflight	hostedDNSZonePreflight	[DNS]	2302
GET	/v1/dns/zones/{zone}/records	listHostedDNSRecords	[DNS]	2333
POST	/v1/dns/zones/{zone}/records	createHostedDNSRecord	[DNS]	2355
PATCH	/v1/dns/zones/{zone}/records/{record_id}	patchHostedDNSRecord	[DNS]	2384
DELETE	/v1/dns/zones/{zone}/records/{record_id}	deleteHostedDNSRecord	[DNS]	2417
GET	/v1/dns/nodes/{dns_node_id}	getDNSNode	[DNS]	2445
POST	/v1/dns/heartbeat	dnsHeartbeat	[DNS]	2468
