command	usage	visible_children
fugue	fugue [command]	admin,api,app,auth,backup,completion,console,data,debug,deploy,diagnose,dns,find,logs,operation,project,runtime,service,source-upload,ssh-key,tenant,upgrade,version,web,workflow
fugue admin	fugue admin [command]	access,action-contract,action-safety,apps,artifact,backup,billing,cluster,cockpit,consumer,control-plane,discovery,dns,domains,edge,failure-contract,gate,image-cache,image-retention,invariant,node-updater,platform,quarantine,release,request,robustness,routes,runtime,security,synthetic,tenant,traffic-safety,users
fugue admin access	fugue admin access [command]	api-key,node-key
fugue admin access api-key	fugue admin access api-key [command]	create,delete,disable,enable,ls,rotate,update
fugue admin access api-key create	fugue admin access api-key create <label> [flags]	-
fugue admin access api-key delete	fugue admin access api-key delete <api-key> [flags]	-
fugue admin access api-key disable	fugue admin access api-key disable <api-key> [flags]	-
fugue admin access api-key enable	fugue admin access api-key enable <api-key> [flags]	-
fugue admin access api-key ls	fugue admin access api-key ls [flags]	-
fugue admin access api-key rotate	fugue admin access api-key rotate <api-key> [flags]	-
fugue admin access api-key update	fugue admin access api-key update <api-key> [flags]	-
fugue admin access node-key	fugue admin access node-key [command]	create,ls,revoke,usage
fugue admin access node-key create	fugue admin access node-key create <label> [flags]	-
fugue admin access node-key ls	fugue admin access node-key ls [flags]	-
fugue admin access node-key revoke	fugue admin access node-key revoke <node-key> [flags]	-
fugue admin access node-key usage	fugue admin access node-key usage <node-key> [flags]	-
fugue admin action-contract	fugue admin action-contract [command]	ls,show
fugue admin action-contract ls	fugue admin action-contract ls [flags]	-
fugue admin action-contract show	fugue admin action-contract show <contract-id> [flags]	-
fugue admin action-safety	fugue admin action-safety [command]	evaluate
fugue admin action-safety evaluate	fugue admin action-safety evaluate [flags]	-
fugue admin apps	fugue admin apps [command]	move
fugue admin apps move	fugue admin apps move <app> [flags]	-
fugue admin artifact	fugue admin artifact [command]	consumers,create,diff,lkg,ls,release,rollback,show,validate,verify-lkg
fugue admin artifact consumers	fugue admin artifact consumers <artifact-id-or-generation> [flags]	-
fugue admin artifact create	fugue admin artifact create [flags]	-
fugue admin artifact diff	fugue admin artifact diff <generation-a> <generation-b> [flags]	-
fugue admin artifact lkg	fugue admin artifact lkg <artifact-id-or-generation> [flags]	-
fugue admin artifact ls	fugue admin artifact ls [flags]	-
fugue admin artifact release	fugue admin artifact release <artifact-id-or-generation> [flags]	-
fugue admin artifact rollback	fugue admin artifact rollback <artifact-id-or-generation> [flags]	-
fugue admin artifact show	fugue admin artifact show <artifact-id-or-generation> [flags]	-
fugue admin artifact validate	fugue admin artifact validate <artifact-id-or-generation> [flags]	-
fugue admin artifact verify-lkg	fugue admin artifact verify-lkg <release-id> [flags]	-
fugue admin backup	fugue admin backup [command]	backend,enable,ls,run,show,status
fugue admin backup backend	fugue admin backup backend [command]	create,delete,ls,rotate,show,test
fugue admin backup backend create	fugue admin backup backend create <name> [flags]	-
fugue admin backup backend delete	fugue admin backup backend delete <backend> [flags]	-
fugue admin backup backend ls	fugue admin backup backend ls [flags]	-
fugue admin backup backend rotate	fugue admin backup backend rotate <backend> [flags]	-
fugue admin backup backend show	fugue admin backup backend show <backend> [flags]	-
fugue admin backup backend test	fugue admin backup backend test <backend> [flags]	-
fugue admin backup enable	fugue admin backup enable [flags]	-
fugue admin backup ls	fugue admin backup ls [flags]	-
fugue admin backup run	fugue admin backup run [flags]	-
fugue admin backup show	fugue admin backup show <id> [flags]	-
fugue admin backup status	fugue admin backup status [flags]	-
fugue admin billing	fugue admin billing [command]	cap,set-balance,show,topup
fugue admin billing cap	fugue admin billing cap [flags]	-
fugue admin billing set-balance	fugue admin billing set-balance <amount> [flags]	-
fugue admin billing show	fugue admin billing show [flags]	-
fugue admin billing topup	fugue admin billing topup <amount> [flags]	-
fugue admin cluster	fugue admin cluster [command]	dns,events,exec,join-script,logs,net,node,node-policy,nodes,pods,rollout,service,status,tls,top,workload
fugue admin cluster dns	fugue admin cluster dns [command]	resolve
fugue admin cluster dns resolve	fugue admin cluster dns resolve <name> [flags]	-
fugue admin cluster events	fugue admin cluster events [flags]	-
fugue admin cluster exec	fugue admin cluster exec --namespace <namespace> --pod <pod> -- <command...> [flags]	-
fugue admin cluster join-script	fugue admin cluster join-script [flags]	-
fugue admin cluster logs	fugue admin cluster logs [flags]	-
fugue admin cluster net	fugue admin cluster net [command]	connect,websocket
fugue admin cluster net connect	fugue admin cluster net connect <target> [flags]	-
fugue admin cluster net websocket	fugue admin cluster net websocket <app> [flags]	-
fugue admin cluster node	fugue admin cluster node [command]	disk,inspect,journal,localpv,metrics
fugue admin cluster node disk	fugue admin cluster node disk <node> [flags]	-
fugue admin cluster node inspect	fugue admin cluster node inspect <node> [flags]	-
fugue admin cluster node journal	fugue admin cluster node journal <node> [flags]	-
fugue admin cluster node localpv	fugue admin cluster node localpv [command]	ls,show
fugue admin cluster node localpv ls	fugue admin cluster node localpv ls [flags]	-
fugue admin cluster node localpv show	fugue admin cluster node localpv show <node> [flags]	-
fugue admin cluster node metrics	fugue admin cluster node metrics <node> [flags]	-
fugue admin cluster node-policy	fugue admin cluster node-policy [command]	get,ls,set,status
fugue admin cluster node-policy get	fugue admin cluster node-policy get <node> [flags]	-
fugue admin cluster node-policy ls	fugue admin cluster node-policy ls [flags]	-
fugue admin cluster node-policy set	fugue admin cluster node-policy set <node> [flags]	-
fugue admin cluster node-policy status	fugue admin cluster node-policy status [flags]	-
fugue admin cluster nodes	fugue admin cluster nodes [flags]	-
fugue admin cluster pods	fugue admin cluster pods [flags]	-
fugue admin cluster rollout	fugue admin cluster rollout [command]	status
fugue admin cluster rollout status	fugue admin cluster rollout status <namespace> <kind> <name> [flags]	-
fugue admin cluster service	fugue admin cluster service [command]	show
fugue admin cluster service show	fugue admin cluster service show <namespace> <name> [flags]	-
fugue admin cluster status	fugue admin cluster status [flags]	-
fugue admin cluster tls	fugue admin cluster tls [command]	probe
fugue admin cluster tls probe	fugue admin cluster tls probe <target> [flags]	-
fugue admin cluster top	fugue admin cluster top [flags]	-
fugue admin cluster workload	fugue admin cluster workload [command]	show
fugue admin cluster workload show	fugue admin cluster workload show <namespace> <kind> <name> [flags]	-
fugue admin cockpit	fugue admin cockpit [flags]	-
fugue admin consumer	fugue admin consumer [command]	expected
fugue admin consumer expected	fugue admin consumer expected [flags]	-
fugue admin control-plane	fugue admin control-plane [command]	store
fugue admin control-plane store	fugue admin control-plane store [command]	promote,status
fugue admin control-plane store promote	fugue admin control-plane store promote [flags]	-
fugue admin control-plane store status	fugue admin control-plane store status [flags]	-
fugue admin discovery	fugue admin discovery [command]	bundle
fugue admin discovery bundle	fugue admin discovery bundle [command]	diff,download,show
fugue admin discovery bundle diff	fugue admin discovery bundle diff <path> [flags]	-
fugue admin discovery bundle download	fugue admin discovery bundle download [path] [flags]	-
fugue admin discovery bundle show	fugue admin discovery bundle show [flags]	-
fugue admin dns	fugue admin dns [command]	acme,answer-check,delegation,full-zone,nodes,status
fugue admin dns acme	fugue admin dns acme [command]	cleanup,ls,present
fugue admin dns acme cleanup	fugue admin dns acme cleanup [challenge-id] [flags]	-
fugue admin dns acme ls	fugue admin dns acme ls [flags]	-
fugue admin dns acme present	fugue admin dns acme present <name> <txt-value> [flags]	-
fugue admin dns answer-check	fugue admin dns answer-check <hostname> [flags]	-
fugue admin dns delegation	fugue admin dns delegation [command]	apply,plan,rollback
fugue admin dns delegation apply	fugue admin dns delegation apply [flags]	-
fugue admin dns delegation plan	fugue admin dns delegation plan [flags]	-
fugue admin dns delegation rollback	fugue admin dns delegation rollback [flags]	-
fugue admin dns full-zone	fugue admin dns full-zone [command]	preflight
fugue admin dns full-zone preflight	fugue admin dns full-zone preflight [flags]	-
fugue admin dns nodes	fugue admin dns nodes [command]	get,ls
fugue admin dns nodes get	fugue admin dns nodes get <dns-node-id> [flags]	-
fugue admin dns nodes ls	fugue admin dns nodes ls [flags]	-
fugue admin dns status	fugue admin dns status [flags]	-
fugue admin domains	fugue admin domains [command]	bind,get,ls,unbind
fugue admin domains bind	fugue admin domains bind <hostname> [flags]	-
fugue admin domains get	fugue admin domains get <hostname> [flags]	-
fugue admin domains ls	fugue admin domains ls [flags]	-
fugue admin domains unbind	fugue admin domains unbind <hostname> [flags]	-
fugue admin edge	fugue admin edge [command]	cache-check,nodes,quality-rank,route-check,route-policy
fugue admin edge cache-check	fugue admin edge cache-check <url> [flags]	-
fugue admin edge nodes	fugue admin edge nodes [command]	canary,desired-state,drain,get,ls,probe,quality,token,undrain
fugue admin edge nodes canary	fugue admin edge nodes canary [command]	set
fugue admin edge nodes canary set	fugue admin edge nodes canary set <edge-id> [flags]	-
fugue admin edge nodes desired-state	fugue admin edge nodes desired-state <edge-id> [flags]	-
fugue admin edge nodes drain	fugue admin edge nodes drain <edge-id> [flags]	-
fugue admin edge nodes get	fugue admin edge nodes get <edge-id> [flags]	-
fugue admin edge nodes ls	fugue admin edge nodes ls [flags]	-
fugue admin edge nodes probe	fugue admin edge nodes probe <edge-id> [flags]	-
fugue admin edge nodes quality	fugue admin edge nodes quality <edge-id> [flags]	-
fugue admin edge nodes token	fugue admin edge nodes token <edge-id> [flags]	-
fugue admin edge nodes undrain	fugue admin edge nodes undrain <edge-id> [flags]	-
fugue admin edge quality-rank	fugue admin edge quality-rank <hostname> [flags]	-
fugue admin edge route-check	fugue admin edge route-check <hostname> [flags]	-
fugue admin edge route-policy	fugue admin edge route-policy [command]	allow-edge,allow-edge-group,delete,exclude-edge,exclude-edge-group,ls,set,show
fugue admin edge route-policy allow-edge	fugue admin edge route-policy allow-edge <hostname> [flags]	-
fugue admin edge route-policy allow-edge-group	fugue admin edge route-policy allow-edge-group <hostname> [flags]	-
fugue admin edge route-policy delete	fugue admin edge route-policy delete <hostname> [flags]	-
fugue admin edge route-policy exclude-edge	fugue admin edge route-policy exclude-edge <hostname> [flags]	-
fugue admin edge route-policy exclude-edge-group	fugue admin edge route-policy exclude-edge-group <hostname> [flags]	-
fugue admin edge route-policy ls	fugue admin edge route-policy ls [flags]	-
fugue admin edge route-policy set	fugue admin edge route-policy set <hostname> [flags]	-
fugue admin edge route-policy show	fugue admin edge route-policy show <hostname> [flags]	-
fugue admin failure-contract	fugue admin failure-contract [command]	ls,show
fugue admin failure-contract ls	fugue admin failure-contract ls [flags]	-
fugue admin failure-contract show	fugue admin failure-contract show <subsystem> [flags]	-
fugue admin gate	fugue admin gate [command]	ls,promote,show
fugue admin gate ls	fugue admin gate ls [flags]	-
fugue admin gate promote	fugue admin gate promote <gate-id> [flags]	-
fugue admin gate show	fugue admin gate show <gate-id> [flags]	-
fugue admin image-cache	fugue admin image-cache [command]	inventory,prune,prune-plan
fugue admin image-cache inventory	fugue admin image-cache inventory [flags]	-
fugue admin image-cache prune	fugue admin image-cache prune [flags]	-
fugue admin image-cache prune-plan	fugue admin image-cache prune-plan [flags]	-
fugue admin image-retention	fugue admin image-retention [command]	plan,reconcile
fugue admin image-retention plan	fugue admin image-retention plan [flags]	-
fugue admin image-retention reconcile	fugue admin image-retention reconcile [flags]	-
fugue admin invariant	fugue admin invariant [command]	inventory,ls,show
fugue admin invariant inventory	fugue admin invariant inventory [flags]	-
fugue admin invariant ls	fugue admin invariant ls [flags]	-
fugue admin invariant show	fugue admin invariant show <invariant-id> [flags]	-
fugue admin node-updater	fugue admin node-updater [command]	health,ls,repair-history,rollout,task
fugue admin node-updater health	fugue admin node-updater health [command]	ls,show
fugue admin node-updater health ls	fugue admin node-updater health ls [flags]	-
fugue admin node-updater health show	fugue admin node-updater health show <node-updater-id> [flags]	-
fugue admin node-updater ls	fugue admin node-updater ls [flags]	-
fugue admin node-updater repair-history	fugue admin node-updater repair-history [flags]	-
fugue admin node-updater rollout	fugue admin node-updater rollout [command]	pause,resume,status
fugue admin node-updater rollout pause	fugue admin node-updater rollout pause [flags]	-
fugue admin node-updater rollout resume	fugue admin node-updater rollout resume [flags]	-
fugue admin node-updater rollout status	fugue admin node-updater rollout status [flags]	-
fugue admin node-updater task	fugue admin node-updater task [command]	create,ls
fugue admin node-updater task create	fugue admin node-updater task create [flags]	-
fugue admin node-updater task ls	fugue admin node-updater task ls [flags]	-
fugue admin platform	fugue admin platform [command]	autonomy,failure-drill
fugue admin platform autonomy	fugue admin platform autonomy [command]	status
fugue admin platform autonomy status	fugue admin platform autonomy status [flags]	-
fugue admin platform failure-drill	fugue admin platform failure-drill [flags]	-
fugue admin quarantine	fugue admin quarantine [command]	explain
fugue admin quarantine explain	fugue admin quarantine explain <node-or-edge> [flags]	-
fugue admin release	fugue admin release [command]	explain,guard
fugue admin release explain	fugue admin release explain <release-id> [flags]	-
fugue admin release guard	fugue admin release guard [command]	signals,status
fugue admin release guard signals	fugue admin release guard signals [command]	add,ls,rm
fugue admin release guard signals add	fugue admin release guard signals add <signal-id> [flags]	-
fugue admin release guard signals ls	fugue admin release guard signals ls [flags]	-
fugue admin release guard signals rm	fugue admin release guard signals rm <signal-id> [flags]	-
fugue admin release guard status	fugue admin release guard status [flags]	-
fugue admin request	fugue admin request [command]	explain
fugue admin request explain	fugue admin request explain <request-id> [flags]	-
fugue admin robustness	fugue admin robustness [command]	check,incidents,repair,repair-plan,status
fugue admin robustness check	fugue admin robustness check <subject> [flags]	edge,node,service
fugue admin robustness check edge	fugue admin robustness check edge <edge-id> [flags]	-
fugue admin robustness check node	fugue admin robustness check node <node-name> [flags]	-
fugue admin robustness check service	fugue admin robustness check service <hostname-or-app> [flags]	-
fugue admin robustness incidents	fugue admin robustness incidents [command]	ls,show
fugue admin robustness incidents ls	fugue admin robustness incidents ls [flags]	-
fugue admin robustness incidents show	fugue admin robustness incidents show <incident-id> [flags]	-
fugue admin robustness repair	fugue admin robustness repair <incident-id> [flags]	-
fugue admin robustness repair-plan	fugue admin robustness repair-plan <incident-id> [flags]	-
fugue admin robustness status	fugue admin robustness status [flags]	-
fugue admin routes	fugue admin routes [command]	explain,ls
fugue admin routes explain	fugue admin routes explain <hostname> [flags]	-
fugue admin routes ls	fugue admin routes ls [flags]	-
fugue admin runtime	fugue admin runtime [command]	access,create,delete,ls,offer,pool,show,token
fugue admin runtime access	fugue admin runtime access [runtime] [flags]	grant,revoke,set,show
fugue admin runtime access grant	fugue admin runtime access grant <runtime> <tenant> [flags]	-
fugue admin runtime access revoke	fugue admin runtime access revoke <runtime> <tenant> [flags]	-
fugue admin runtime access set	fugue admin runtime access set <runtime> <mode> [flags]	-
fugue admin runtime access show	fugue admin runtime access show <runtime> [flags]	-
fugue admin runtime create	fugue admin runtime create <name> [flags]	-
fugue admin runtime delete	fugue admin runtime delete <runtime> [flags]	-
fugue admin runtime ls	fugue admin runtime ls [flags]	-
fugue admin runtime offer	fugue admin runtime offer [command]	set,show
fugue admin runtime offer set	fugue admin runtime offer set <runtime> [flags]	-
fugue admin runtime offer show	fugue admin runtime offer show <runtime> [flags]	-
fugue admin runtime pool	fugue admin runtime pool [command]	set,show
fugue admin runtime pool set	fugue admin runtime pool set <runtime> <mode> [flags]	-
fugue admin runtime pool show	fugue admin runtime pool show <runtime> [flags]	-
fugue admin runtime show	fugue admin runtime show <runtime> [flags]	-
fugue admin runtime token	fugue admin runtime token [command]	create,ls
fugue admin runtime token create	fugue admin runtime token create <label> [flags]	-
fugue admin runtime token ls	fugue admin runtime token ls [flags]	-
fugue admin security	fugue admin security [command]	key-rotation
fugue admin security key-rotation	fugue admin security key-rotation [flags]	-
fugue admin synthetic	fugue admin synthetic [command]	ls
fugue admin synthetic ls	fugue admin synthetic ls [flags]	-
fugue admin tenant	fugue admin tenant [command]	create,delete,ls
fugue admin tenant create	fugue admin tenant create <name> [flags]	-
fugue admin tenant delete	fugue admin tenant delete <tenant> [flags]	-
fugue admin tenant ls	fugue admin tenant ls [flags]	-
fugue admin traffic-safety	fugue admin traffic-safety [command]	explain
fugue admin traffic-safety explain	fugue admin traffic-safety explain <hostname> [flags]	-
fugue admin users	fugue admin users [command]	enrich,ls,resolve,show,usage
fugue admin users enrich	fugue admin users enrich [flags]	-
fugue admin users ls	fugue admin users ls [flags]	-
fugue admin users resolve	fugue admin users resolve <email> [flags]	-
fugue admin users show	fugue admin users show <email> [flags]	-
fugue admin users usage	fugue admin users usage [flags]	-
fugue api	fugue api [command]	request
